FileName,IsGunshot
test_000001,0.0
test_000002,1.0
test_000003,1.0
test_000004,1.0
test_000005,0.0
test_000006,1.0
test_000007,1.0
test_000008,1.0
test_000009,0.0
test_000010,0.0
test_000011,1.0
test_000012,0.0
test_000013,0.0
test_000014,1.0
test_000015,1.0
test_000016,1.0
test_000017,1.0
test_000018,1.0
test_000019,1.0
test_000020,1.0
test_000021,1.0
test_000022,0.0
test_000023,0.0
test_000024,0.0
test_000025,1.0
test_000026,1.0
test_000027,0.0
test_000028,1.0
test_000029,1.0
test_000030,0.0
test_000031,1.0
test_000032,1.0
test_000033,1.0
test_000034,1.0
test_000035,1.0
test_000036,0.0
test_000037,0.0
test_000038,0.0
test_000039,1.0
test_000040,1.0
test_000041,0.0
test_000042,1.0
test_000043,1.0
test_000044,1.0
test_000045,1.0
test_000046,1.0
test_000047,1.0
test_000048,0.0
test_000049,1.0
test_000050,1.0
test_000051,1.0
test_000052,1.0
test_000053,1.0
test_000054,0.0
test_000055,0.0
test_000056,1.0
test_000057,1.0
test_000058,1.0
test_000059,0.0
test_000060,0.0
test_000061,1.0
test_000062,1.0
test_000063,1.0
test_000064,0.0
test_000065,1.0
test_000066,1.0
test_000067,1.0
test_000068,0.0
test_000069,1.0
test_000070,0.0
test_000071,0.0
test_000072,0.0
test_000073,1.0
test_000074,0.0
test_000075,0.0
test_000076,1.0
test_000077,0.0
test_000078,1.0
test_000079,0.0
test_000080,1.0
test_000081,0.0
test_000082,0.0
test_000083,0.0
test_000084,1.0
test_000085,1.0
test_000086,0.0
test_000087,1.0
test_000088,0.0
test_000089,0.0
test_000090,1.0
test_000091,0.0
test_000092,0.0
test_000093,0.0
test_000094,0.0
test_000095,1.0
test_000096,0.0
test_000097,1.0
test_000098,1.0
test_000099,0.0
test_000100,1.0
test_000101,1.0
test_000102,1.0
test_000103,1.0
test_000104,1.0
test_000105,0.0
test_000106,1.0
test_000107,0.0
test_000108,0.0
test_000109,1.0
test_000110,0.0
test_000111,1.0
test_000112,1.0
test_000113,0.0
test_000114,1.0
test_000115,1.0
test_000116,0.0
test_000117,0.0
test_000118,0.0
test_000119,1.0
test_000120,0.0
test_000121,0.0
test_000122,1.0
test_000123,1.0
test_000124,1.0
test_000125,0.0
test_000126,1.0
test_000127,1.0
test_000128,0.0
test_000129,0.0
test_000130,1.0
test_000131,0.0
test_000132,1.0
test_000133,1.0
test_000134,1.0
test_000135,0.0
test_000136,1.0
test_000137,1.0
test_000138,1.0
test_000139,0.0
test_000140,0.0
test_000141,0.0
test_000142,1.0
test_000143,1.0
test_000144,1.0
test_000145,1.0
test_000146,1.0
test_000147,1.0
test_000148,1.0
test_000149,0.0
test_000150,1.0
test_000151,0.0
test_000152,1.0
test_000153,0.0
test_000154,1.0
test_000155,1.0
test_000156,1.0
test_000157,1.0
test_000158,0.0
test_000159,0.0
test_000160,1.0
test_000161,1.0
test_000162,0.0
test_000163,1.0
test_000164,1.0
test_000165,1.0
test_000166,0.0
test_000167,0.0
test_000168,0.0
test_000169,1.0
test_000170,0.0
test_000171,1.0
test_000172,0.0
test_000173,0.0
test_000174,0.0
test_000175,1.0
test_000176,1.0
test_000177,1.0
test_000178,1.0
test_000179,0.0
test_000180,1.0
test_000181,0.0
test_000182,0.0
test_000183,0.0
test_000184,1.0
test_000185,0.0
test_000186,0.0
test_000187,1.0
test_000188,0.0
test_000189,1.0
test_000190,0.0
test_000191,1.0
test_000192,1.0
test_000193,1.0
test_000194,1.0
test_000195,1.0
test_000196,0.0
test_000197,1.0
test_000198,1.0
test_000199,1.0
test_000200,1.0
test_000201,0.0
test_000202,1.0
test_000203,1.0
test_000204,1.0
test_000205,0.0
test_000206,1.0
test_000207,0.0
test_000208,0.0
test_000209,1.0
test_000210,0.0
test_000211,1.0
test_000212,0.0
test_000213,1.0
test_000214,0.0
test_000215,0.0
test_000216,1.0
test_000217,1.0
test_000218,1.0
test_000219,1.0
test_000220,0.0
test_000221,0.0
test_000222,1.0
test_000223,1.0
test_000224,0.0
test_000225,1.0
test_000226,1.0
test_000227,1.0
test_000228,1.0
test_000229,1.0
test_000230,0.0
test_000231,0.0
test_000232,1.0
test_000233,1.0
test_000234,0.0
test_000235,0.0
test_000236,1.0
test_000237,1.0
test_000238,0.0
test_000239,1.0
test_000240,0.0
test_000241,0.0
test_000242,0.0
test_000243,1.0
test_000244,0.0
test_000245,1.0
test_000246,1.0
test_000247,1.0
test_000248,1.0
test_000249,1.0
test_000250,1.0
test_000251,1.0
test_000252,1.0
test_000253,0.0
test_000254,1.0
test_000255,0.0
test_000256,1.0
test_000257,1.0
test_000258,1.0
test_000259,1.0
test_000260,1.0
test_000261,1.0
test_000262,1.0
test_000263,1.0
test_000264,0.0
test_000265,0.0
test_000266,0.0
test_000267,0.0
test_000268,1.0
test_000269,1.0
test_000270,1.0
test_000271,1.0
test_000272,0.0
test_000273,0.0
test_000274,1.0
test_000275,1.0
test_000276,1.0
test_000277,1.0
test_000278,1.0
test_000279,1.0
test_000280,1.0
test_000281,1.0
test_000282,0.0
test_000283,1.0
test_000284,1.0
test_000285,1.0
test_000286,1.0
test_000287,1.0
test_000288,1.0
test_000289,1.0
test_000290,1.0
test_000291,0.0
test_000292,0.0
test_000293,0.0
test_000294,0.0
test_000295,0.0
test_000296,0.0
test_000297,1.0
test_000298,0.0
test_000299,1.0
test_000300,1.0
test_000301,1.0
test_000302,0.0
test_000303,1.0
test_000304,1.0
test_000305,1.0
test_000306,1.0
test_000307,0.0
test_000308,1.0
test_000309,0.0
test_000310,1.0
test_000311,1.0
test_000312,1.0
test_000313,1.0
test_000314,1.0
test_000315,1.0
test_000316,1.0
test_000317,0.0
test_000318,1.0
test_000319,1.0
test_000320,0.0
test_000321,1.0
test_000322,1.0
test_000323,0.0
test_000324,1.0
test_000325,0.0
test_000326,0.0
test_000327,0.0
test_000328,0.0
test_000329,0.0
test_000330,1.0
test_000331,1.0
test_000332,1.0
test_000333,0.0
test_000334,0.0
test_000335,1.0
test_000336,1.0
test_000337,0.0
test_000338,1.0
test_000339,0.0
test_000340,1.0
test_000341,1.0
test_000342,1.0
test_000343,0.0
test_000344,1.0
test_000345,1.0
test_000346,1.0
test_000347,1.0
test_000348,0.0
test_000349,1.0
test_000350,1.0
test_000351,0.0
test_000352,0.0
test_000353,1.0
test_000354,1.0
test_000355,0.0
test_000356,1.0
test_000357,1.0
test_000358,1.0
test_000359,1.0
test_000360,1.0
test_000361,1.0
test_000362,1.0
test_000363,1.0
test_000364,1.0
test_000365,0.0
test_000366,0.0
test_000367,0.0
test_000368,1.0
test_000369,1.0
test_000370,1.0
test_000371,0.0
test_000372,1.0
test_000373,0.0
test_000374,0.0
test_000375,1.0
test_000376,1.0
test_000377,0.0
test_000378,1.0
test_000379,0.0
test_000380,1.0
test_000381,1.0
test_000382,1.0
test_000383,1.0
test_000384,1.0
test_000385,1.0
test_000386,0.0
test_000387,1.0
test_000388,1.0
test_000389,0.0
test_000390,0.0
test_000391,1.0
test_000392,0.0
test_000393,0.0
test_000394,0.0
test_000395,1.0
test_000396,1.0
test_000397,0.0
test_000398,0.0
test_000399,1.0
test_000400,1.0
test_000401,1.0
test_000402,1.0
test_000403,1.0
test_000404,1.0
test_000405,1.0
test_000406,1.0
test_000407,1.0
test_000408,1.0
test_000409,0.0
test_000410,0.0
test_000411,1.0
test_000412,1.0
test_000413,0.0
test_000414,1.0
test_000415,0.0
test_000416,0.0
test_000417,0.0
test_000418,1.0
test_000419,1.0
test_000420,1.0
test_000421,0.0
test_000422,0.0
test_000423,1.0
test_000424,0.0
test_000425,1.0
test_000426,1.0
test_000427,1.0
test_000428,1.0
test_000429,0.0
test_000430,1.0
test_000431,1.0
test_000432,1.0
test_000433,0.0
test_000434,1.0
test_000435,1.0
test_000436,1.0
test_000437,1.0
test_000438,1.0
test_000439,1.0
test_000440,1.0
test_000441,1.0
test_000442,1.0
test_000443,0.0
test_000444,0.0
test_000445,1.0
test_000446,0.0
test_000447,1.0
test_000448,1.0
test_000449,1.0
test_000450,1.0
test_000451,1.0
test_000452,1.0
test_000453,0.0
test_000454,0.0
test_000455,0.0
test_000456,1.0
test_000457,1.0
test_000458,1.0
test_000459,0.0
test_000460,1.0
test_000461,1.0
test_000462,1.0
test_000463,0.0
test_000464,1.0
test_000465,0.0
test_000466,1.0
test_000467,0.0
test_000468,1.0
test_000469,1.0
test_000470,1.0
test_000471,0.0
test_000472,0.0
test_000473,0.0
test_000474,1.0
test_000475,0.0
test_000476,0.0
test_000477,0.0
test_000478,1.0
test_000479,0.0
test_000480,0.0
test_000481,0.0
test_000482,1.0
test_000483,0.0
test_000484,0.0
test_000485,1.0
test_000486,0.0
test_000487,0.0
test_000488,1.0
test_000489,1.0
test_000490,0.0
test_000491,0.0
test_000492,0.0
test_000493,1.0
test_000494,1.0
test_000495,0.0
test_000496,1.0
test_000497,1.0
test_000498,1.0
test_000499,0.0
test_000500,1.0
test_000501,0.0
test_000502,0.0
test_000503,0.0
test_000504,1.0
test_000505,1.0
test_000506,1.0
test_000507,0.0
test_000508,0.0
test_000509,1.0
test_000510,0.0
test_000511,0.0
test_000512,1.0
test_000513,0.0
test_000514,1.0
test_000515,0.0
test_000516,0.0
test_000517,0.0
test_000518,0.0
test_000519,1.0
test_000520,0.0
test_000521,1.0
test_000522,1.0
test_000523,1.0
test_000524,0.0
test_000525,1.0
test_000526,1.0
test_000527,0.0
test_000528,0.0
test_000529,1.0
test_000530,0.0
test_000531,0.0
test_000532,0.0
test_000533,0.0
test_000534,1.0
test_000535,1.0
test_000536,1.0
test_000537,1.0
test_000538,1.0
test_000539,1.0
test_000540,1.0
test_000541,0.0
test_000542,1.0
test_000543,1.0
test_000544,1.0
test_000545,1.0
test_000546,0.0
test_000547,1.0
test_000548,1.0
test_000549,1.0
test_000550,1.0
test_000551,0.0
test_000552,0.0
test_000553,1.0
test_000554,1.0
test_000555,0.0
test_000556,1.0
test_000557,1.0
test_000558,1.0
test_000559,1.0
test_000560,1.0
test_000561,1.0
test_000562,0.0
test_000563,0.0
test_000564,1.0
test_000565,0.0
test_000566,1.0
test_000567,0.0
test_000568,0.0
test_000569,0.0
test_000570,0.0
test_000571,0.0
test_000572,0.0
test_000573,1.0
test_000574,0.0
test_000575,0.0
test_000576,0.0
test_000577,1.0
test_000578,1.0
test_000579,0.0
test_000580,1.0
test_000581,1.0
test_000582,1.0
test_000583,0.0
test_000584,0.0
test_000585,1.0
test_000586,0.0
test_000587,1.0
test_000588,1.0
test_000589,0.0
test_000590,1.0
test_000591,1.0
test_000592,1.0
test_000593,1.0
test_000594,1.0
test_000595,1.0
test_000596,1.0
test_000597,0.0
test_000598,1.0
test_000599,1.0
test_000600,1.0
test_000601,1.0
test_000602,0.0
test_000603,1.0
test_000604,1.0
test_000605,1.0
test_000606,0.0
test_000607,0.0
test_000608,1.0
test_000609,1.0
test_000610,0.0
test_000611,0.0
test_000612,1.0
test_000613,1.0
test_000614,0.0
test_000615,0.0
test_000616,1.0
test_000617,1.0
test_000618,1.0
test_000619,0.0
test_000620,1.0
test_000621,0.0
test_000622,0.0
test_000623,0.0
test_000624,1.0
test_000625,1.0
test_000626,1.0
test_000627,1.0
test_000628,0.0
test_000629,0.0
test_000630,1.0
test_000631,1.0
test_000632,0.0
test_000633,0.0
test_000634,1.0
test_000635,1.0
test_000636,1.0
test_000637,0.0
test_000638,1.0
test_000639,1.0
test_000640,1.0
test_000641,1.0
test_000642,0.0
test_000643,1.0
test_000644,0.0
test_000645,1.0
test_000646,0.0
test_000647,1.0
test_000648,1.0
test_000649,0.0
test_000650,1.0
test_000651,1.0
test_000652,1.0
test_000653,1.0
test_000654,1.0
test_000655,1.0
test_000656,1.0
test_000657,0.0
test_000658,1.0
test_000659,1.0
test_000660,0.0
test_000661,0.0
test_000662,1.0
test_000663,0.0
test_000664,1.0
test_000665,0.0
test_000666,0.0
test_000667,0.0
test_000668,0.0
test_000669,1.0
test_000670,0.0
test_000671,1.0
test_000672,1.0
test_000673,1.0
test_000674,1.0
test_000675,0.0
test_000676,1.0
test_000677,1.0
test_000678,1.0
test_000679,0.0
test_000680,1.0
test_000681,1.0
test_000682,1.0
test_000683,0.0
test_000684,0.0
test_000685,1.0
test_000686,0.0
test_000687,0.0
test_000688,1.0
test_000689,1.0
test_000690,1.0
test_000691,0.0
test_000692,0.0
test_000693,1.0
test_000694,1.0
test_000695,0.0
test_000696,1.0
test_000697,0.0
test_000698,0.0
test_000699,0.0
test_000700,0.0
test_000701,1.0
test_000702,1.0
test_000703,0.0
test_000704,1.0
test_000705,1.0
